method,variant,cohort,k,silhouette,stability_nmi,stability_ari,consensus_stability,logrank_os_p,logrank_pfi_p,cluster_balance_score,selected_as_best_improvement,compare_to_previous_final,notes
proposed_weighted_fusion,v2_interaction,complete_case_main5,2,-0.015359089703925166,0.0074639390097961415,0.002721172977757128,0.005092555993776634,0.4143186330355493,0.44427424353948164,0.0027548209366391185,False,vs early_fusion_kmeans,extra interaction term over v1 (no gain)
partial_equal_weight_fusion,partial_formal,complete_case_main5,2,0.19314622482386257,0.0074639390097961415,0.002721172977757128,0.005092555993776634,0.4143186330355493,0.44427424353948164,0.0027548209366391185,False,vs early_fusion_kmeans,high silhouette but severely imbalanced/unstable
partial_weighted_fusion,partial_formal,complete_case_main5,2,0.19314622482386257,0.0074639390097961415,0.002721172977757128,0.005092555993776634,0.4143186330355493,0.44427424353948164,0.0027548209366391185,False,vs early_fusion_kmeans,high silhouette but severely imbalanced/unstable
partial_early_fusion_kmeans,partial_formal,complete_case_main5,2,0.05271537910516289,0.6683173358812593,0.7710483821040821,0.7196828589926707,0.0013955544108363797,0.02403080072197769,0.7089201877934272,False,vs early_fusion_kmeans,strong stability and balance with moderate silhouette
consensus_ensemble,coassociation,complete_case_main5,2,0.07899357949530163,0.5652432853185904,0.6205933483380198,0.5929183168283051,0.06938242857118852,0.025116784188921507,0.450199203187251,False,vs early_fusion_kmeans,more stable than several single models but survival separation moderate
spectral_graph_tuned,connectivity_aware,complete_case_main5,2,0.09089537231795806,,,,,,,False,vs early_fusion_kmeans,graph quality improved but not enough to replace final model
shared_embedding_prototype,exploratory,complete_case_main5,2,0.10979183417535343,0.6547806335571887,0.7591515502296703,0.7069660918934295,0.0016685084160298382,0.017645467764327967,0.7169811320754716,True,vs early_fusion_kmeans,best balanced improvement candidate in this round
