modality,Q_m,C_m,S_m,M_m,final_weight
mutation,0.9999999999982024,0.01385577604766851,1.0,0.0,0.2913438355324958
cnv,0.0,0.9999999999993633,1.0,0.0,0.28733487833862964
rna,0.0,0.4165725239597583,1.0,0.0,0.16032786630878773
mirna,0.12464375300507458,0.2605130789931,1.0,0.0,0.1553693508537849
methylation,0.0,0.0,1.0,0.0007620879120879121,0.10562406896630191
