Seed,NMI_V4,NMI_V3
1,0.870767667538891,0.6279562884334177
2,0.8664831539438367,0.6560211516632148
3,0.8702412674702267,0.6887590711152161
4,0.8905364179660784,0.7213045525105417
5,0.8705060111116806,0.7458829510234561
6,0.9063238206483739,0.6837128093423267
7,0.8849331790088089,0.7293383382238539
8,0.8818483612369488,0.6822308533823338
9,0.8714164221981878,0.6894241098504026
10,0.8870030987940899,0.6496669451575888
