Model_Version,Silhouette,Davies_Bouldin,Calinski_Harabasz,Subsampling_NMI_Stability
V3_Early_Fusion_KMeans,0.14,2.15,45.2,0.72
V4_Contrastive_GCN,0.28,1.35,73.1,0.88
