method,k,n_samples,cluster_sizes,full_feature_silhouette,method_space_silhouette,calinski_harabasz_full,davies_bouldin_full,stability_nmi,stability_ari,consensus_stability,cluster_balance,os_logrank_p,pfi_logrank_p,dss_logrank_p,dfi_logrank_p,clinical_score_os_pfi,notes,n_boundary_samples_from_latent,boundary_samples_from_latent
traditional_early_fusion_kmeans,2,364,151;213,0.05271537910516318,0.08584007783341853,23.221826076803183,3.7674074932282755,0.8641749488246142,0.9145035011032991,0.8893392249639567,0.7089201877934272,0.0013955544108363938,0.024030800721977583,0.0017331967120996264,0.2869936600918702,2.2372424921260485,selected_final_traditional_baseline,,
innovation_v3_clinical_consensus,2,364,153;211,0.052986878408080536,0.13794072933430043,23.193523723317263,3.779600239643005,0.8655086398962649,0.9157153542505321,0.8906119970733986,0.7251184834123223,0.000627547937113643,0.013663464200192953,0.0008992746515564702,0.2356378718098793,2.533396135236698,shared_latent_pca_10x5_to_32 + boundary_refinement_on_disagreement_samples,4.0,TCGA-BR-8682-01;TCGA-D7-5578-01;TCGA-D7-6822-01;TCGA-HU-8249-01
